iter	Passed	Remaining
772	3205	941
773	3209	937
774	3211	932
775	3215	928
776	3218	923
777	3222	919
778	3225	915
779	3229	910
780	3232	906
781	3235	902
782	3239	897
783	3243	893
784	3247	889
785	3250	885
786	3253	880
787	3257	876
788	3260	871
789	3264	867
790	3267	863
791	3270	859
792	3274	854
793	3277	850
794	3280	845
795	3283	841
796	3286	837
797	3289	832
798	3293	828
799	3296	824
800	3299	819
801	3302	815
802	3305	811
803	3309	806
804	3312	802
805	3316	798
806	3319	793
807	3322	789
808	3325	785
809	3328	780
810	3332	776
811	3336	772
812	3339	768
813	3342	763
814	3346	759
815	3349	755
816	3352	750
817	3355	746
818	3358	742
819	3361	737
820	3365	733
821	3368	729
822	3371	725
823	3375	720
824	3378	716
825	3381	712
826	3384	708
827	3388	703
828	3390	699
829	3394	695
830	3397	690
831	3400	686
832	3403	682
833	3405	677
834	3409	673
835	3412	669
836	3416	665
837	3420	661
838	3423	656
839	3426	652
840	3429	648
841	3432	644
842	3435	639
843	3438	635
844	3441	631
845	3444	626
846	3447	622
847	3450	618
848	3453	614
849	3456	610
850	3459	605
851	3462	601
852	3465	597
853	3467	592
854	3470	588
855	3474	584
856	3477	580
857	3480	576
858	3483	571
859	3486	567
860	3489	563
861	3492	559
862	3495	554
863	3498	550
864	3501	546
865	3504	542
866	3508	538
867	3511	533
868	3513	529
869	3516	525
870	3519	521
871	3523	517
872	3529	513
873	3532	509
874	3536	505
875	3539	501
876	3542	496
877	3545	492
878	3548	488
879	3552	484
880	3556	480
881	3558	476
882	3561	471
883	3565	467
884	3568	463
885	3571	459
886	3573	455
887	3576	451
888	3579	446
889	3582	442
890	3585	438
891	3589	434
892	3592	430
893	3595	426
894	3598	422
895	3601	418
896	3604	413
897	3607	409
898	3610	405
899	3613	401
900	3616	397
901	3619	393
902	3622	389
903	3625	385
904	3628	380
905	3631	376
906	3634	372
907	3637	368
908	3640	364
909	3643	360
910	3646	356
911	3648	352
912	3651	347
913	3654	343
914	3658	339
915	3660	335
916	3663	331
917	3666	327
918	3669	323
919	3672	319
920	3675	315
921	3678	311
922	3681	307
923	3683	303
924	3687	298
925	3690	294
926	3692	290
927	3695	286
928	3698	282
929	3702	278
930	3705	274
931	3708	270
932	3711	266
933	3714	262
934	3717	258
935	3721	254
936	3724	250
937	3727	246
938	3730	242
939	3733	238
940	3736	234
941	3739	230
942	3743	226
943	3746	222
944	3750	218
945	3753	214
946	3756	210
947	3760	206
948	3763	202
949	3766	198
950	3770	194
951	3774	190
952	3777	186
953	3781	182
954	3784	178
955	3788	174
956	3791	170
957	3795	166
958	3798	162
959	3801	158
960	3804	154
961	3808	150
962	3811	146
963	3814	142
964	3817	138
965	3820	134
966	3823	130
967	3826	126
968	3830	122
969	3833	118
970	3837	114
971	3839	110
972	3842	106
973	3846	102
974	3849	98
975	3852	94
976	3855	90
977	3859	86
978	3862	82
979	3865	78
980	3869	74
981	3872	70
982	3875	67
983	3878	63
984	3881	59
985	3884	55
986	3887	51
987	3891	47
988	3894	43
989	3897	39
990	3900	35
991	3905	31
992	3910	27
993	3914	23
994	3918	19
995	3922	15
996	3926	11
997	3930	7
998	3940	3
999	3945	0
